Sno,Movie Name,Director1,Director2,Director3,Duration,Year,Ratings,Metascore
346,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
347,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
348,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
349,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
350,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
351,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
352,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
353,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
354,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
355,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
356,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
357,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
358,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
359,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
360,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
361,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
362,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
363,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
364,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
365,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
366,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
367,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
368,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
369,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
370,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
371,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
372,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
373,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
374,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
375,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
376,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
377,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
378,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
379,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
380,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
381,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
382,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
383,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
384,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
385,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
386,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
387,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
388,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
389,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
390,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
391,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
392,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
393,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
394,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
395,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
396,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
397,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
398,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
399,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
400,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
401,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
402,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
403,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
404,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
405,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
406,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
407,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
408,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
409,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
410,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
411,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
412,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
413,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
414,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
415,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
416,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
417,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
418,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
419,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
420,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
421,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
422,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
423,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
424,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
425,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
426,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
427,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
428,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
429,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
430,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
431,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
432,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
433,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
434,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
435,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
436,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
437,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
438,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
439,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
440,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
441,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
442,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
443,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
444,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
445,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
446,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
447,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
448,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
449,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
450,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
451,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
452,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
453,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
454,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
455,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
456,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
457,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
458,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
459,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
460,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
461,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
462,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
463,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
464,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
465,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
466,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
467,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
468,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
469,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
470,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
471,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
472,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
473,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
474,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
475,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
476,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
477,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
478,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
479,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
480,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
481,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
482,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
483,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
484,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
485,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
486,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
487,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
488,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
489,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
490,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
491,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
492,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
493,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
494,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
495,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
496,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
497,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
498,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
499,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
500,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
501,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
502,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
503,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
504,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
505,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
506,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
507,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
508,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
509,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
510,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
511,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
512,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
513,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
514,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
515,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
516,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
517,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
518,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
519,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
520,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
521,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
522,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
523,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
524,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
525,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
526,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
527,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
528,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
529,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
530,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
531,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
532,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
533,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
534,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
535,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
536,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
537,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
538,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
539,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
540,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
541,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
542,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
543,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
544,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
545,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
546,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
547,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
548,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
549,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
550,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
551,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
552,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
553,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
554,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
555,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
556,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
557,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
558,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
559,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
560,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
561,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
562,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
563,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
564,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
565,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
566,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
567,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
568,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
569,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
570,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
571,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
572,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
573,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
574,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
575,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
576,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
577,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
578,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
579,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
580,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
581,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
582,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
583,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
584,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
585,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
586,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
587,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
588,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
589,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
590,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
591,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
592,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
593,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
594,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
595,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
596,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
597,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
598,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
599,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
600,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
601,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
602,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
603,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
604,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
605,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
606,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
607,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
608,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
609,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
610,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
611,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
612,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
613,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
614,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
615,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
616,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
617,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
618,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
619,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
620,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
621,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
622,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
623,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
624,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
625,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
626,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
627,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
628,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
629,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
630,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
631,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
632,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
633,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
634,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
635,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
636,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
637,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
638,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
639,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
640,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
641,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
642,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
643,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
644,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
645,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
646,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
647,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
648,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
649,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
650,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
651,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
652,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
653,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
654,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
655,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
656,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
657,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
658,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
659,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
660,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
661,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
662,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
663,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
664,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
665,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
666,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
667,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
668,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
669,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
670,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
671,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
672,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
673,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
674,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
675,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
676,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
677,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
678,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
679,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
680,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
681,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
682,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
683,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
684,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
685,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
686,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
687,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
688,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
689,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
690,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
691,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
692,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
