Sno,Movie Name,Director1,Director2,Director3,Duration,Year,Ratings,Metascore
78,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
79,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
80,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
81,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
82,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
83,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
84,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
85,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
86,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
87,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
88,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
89,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
90,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
91,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
92,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
93,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
94,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
95,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
96,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
97,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
98,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
99,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
100,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
101,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
102,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
103,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
104,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
105,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
106,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
107,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
108,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
109,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
110,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
111,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
112,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
113,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
114,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
115,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
116,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
117,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
118,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
119,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
120,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
121,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
122,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
123,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
124,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
125,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
126,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
127,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
128,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
129,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
130,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
131,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
132,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
133,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
134,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
135,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
136,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
137,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
138,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
139,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
140,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
141,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
142,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
143,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
144,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
145,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
146,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
147,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
148,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
149,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
150,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
151,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
152,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
153,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
154,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
155,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
156,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
157,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
158,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
159,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
160,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
161,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
162,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
163,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
164,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
165,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
166,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
167,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
168,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
169,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
170,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
171,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
172,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
173,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
174,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
175,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
176,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
177,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
178,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
179,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
180,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
181,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
182,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
183,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
184,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
185,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
186,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
187,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
188,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
189,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
190,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
191,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
192,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
193,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
194,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
195,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
196,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
197,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
198,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
199,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
200,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
201,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
202,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
203,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
204,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
205,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
206,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
207,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
208,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
209,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
210,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
211,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
212,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
213,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
214,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
215,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
216,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
217,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
218,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
219,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
220,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
221,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
222,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
223,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
224,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
225,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
226,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
227,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
228,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
229,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
230,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
231,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
232,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
233,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
234,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
235,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
236,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
237,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
238,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
239,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
240,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
241,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
242,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
243,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
244,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
245,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
246,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
247,Gangs of Wasseypur,Anurag Kashyap,-,-,321 min,2012,8.2,89        
248,Baahubali 2: The Conclusion,S.S. Rajamouli,-,-,167 min,2017,8.2,-
249,Yojimbo,Akira Kurosawa,-,-,110 min,1961,8.2,93        
250,Uri: The Surgical Strike,Aditya Dhar,-,-,138 min,2019,8.2,-
251,The Dark Knight,Christopher Nolan,-,-,152 min,2008,9.0,84        
252,The Lord of the Rings: The Return of the King,Peter Jackson,-,-,201 min,2003,9.0,94        
253,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,8.9,86        
254,Inception,Christopher Nolan,-,-,148 min,2010,8.8,74        
255,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,-,-,178 min,2001,8.8,92        
256,The Lord of the Rings: The Two Towers,Peter Jackson,-,-,179 min,2002,8.8,87        
257,The Matrix,Lana Wachowski,Lilly Wachowski,-,136 min,1999,8.7,73        
258,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,-,-,124 min,1980,8.7,82        
259,Soorarai Pottru,Sudha Kongara,-,-,153 min,2020,8.7,-
260,Terminator 2: Judgment Day,James Cameron,-,-,137 min,1991,8.6,75        
261,Star Wars: Episode IV - A New Hope,George Lucas,-,-,121 min,1977,8.6,90        
262,Seven Samurai,Akira Kurosawa,-,-,207 min,1954,8.6,98        
263,Harakiri,Masaki Kobayashi,-,-,133 min,1962,8.6,85        
264,Sita Ramam,Hanu Raghavapudi,-,-,163 min,2022,8.6,-
265,Gladiator,Ridley Scott,-,-,155 min,2000,8.5,67        
266,Léon: The Professional,Luc Besson,-,-,110 min,1994,8.5,64        
267,Raiders of the Lost Ark,Steven Spielberg,-,-,115 min,1981,8.4,85        
268,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87        
269,Avengers: Endgame,Anthony Russo,Joe Russo,-,181 min,2019,8.4,78        
270,Aliens,James Cameron,-,-,137 min,1986,8.4,84        
271,Oldboy,Park Chan-wook,-,-,120 min,2003,8.4,77        
272,The Dark Knight Rises,Christopher Nolan,-,-,164 min,2012,8.4,78        
273,Avengers: Infinity War,Anthony Russo,Joe Russo,-,149 min,2018,8.4,68        
274,Kaithi,Lokesh Kanagaraj,-,-,145 min,2019,8.4,-
275,Asuran,Vetrimaaran,-,-,141 min,2019,8.4,-
276,Top Gun: Maverick,Joseph Kosinski,-,-,130 min,2022,8.3,78        
277,Heat,Michael Mann,-,-,170 min,1995,8.3,76        
278,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,-,-,131 min,1983,8.3,58        
279,Princess Mononoke,Hayao Miyazaki,-,-,134 min,1997,8.3,76        
280,North by Northwest,Alfred Hitchcock,-,-,136 min,1959,8.3,98        
281,Dangal,Nitesh Tiwari,-,-,161 min,2016,8.3,-
282,Kantara,Rishab Shetty,-,-,148 min,2022,8.3,-
283,K.G.F: Chapter 2,Prashanth Neel,-,-,168 min,2022,8.3,-
284,Vikram,Lokesh Kanagaraj,-,-,175 min,2022,8.3,-
285,Shershaah,Vishnuvardhan,-,-,135 min,2021,8.3,-
286,Raatchasan,Ram Kumar,-,-,170 min,2018,8.3,-
287,Indiana Jones and the Last Crusade,Steven Spielberg,-,-,127 min,1989,8.2,65        
288,Spider-Man: No Way Home,Jon Watts,-,-,148 min,2021,8.2,71        
289,Jurassic Park,Steven Spielberg,-,-,127 min,1993,8.2,68        
290,Batman Begins,Christopher Nolan,-,-,140 min,2005,8.2,70        
291,1917,Sam Mendes,-,-,119 min,2019,8.2,78        
292,Die Hard,John McTiernan,-,-,132 min,1988,8.2,72        
293,Kill Bill: Vol. 1,Quentin Tarantino,-,-,111 min,2003,8.2,69        
294,V for Vendetta,James McTeigue,-,-,132 min,2005,8.2,62        
295,Ran,Akira Kurosawa,-,-,162 min,1985,8.2,97        
296,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,-,-,117 min,2020,8.2,72        
